کتابخانه	390001387
گم‌شده	295000107
منها	351000074
رحمه‌الله	123000032
غذا	480001259
زندگی‌نامه	105000079
زندگینامه	105000079
کارگاه	152000493
مالیات	147000719
گردشگری	107000237
روشن‌فکری	77100130
صندلی	135000338
شیلی	179000121
دین	262002352
قصیده	121000149
رب‌العالمین	47700017
طلا	233000708
سبحان‌الله	41300005
بسم‌الله	52500018
بینی	118000174
ممنوعات	58000000
رسول‌الله	43300069
تبارک‌الله	36300001
نگه‌داری	46200773
ماشین‌آلات	33700228
سلسله	74000506
بارک‌الله	35000001
تصاعدی	54500011
بهره‌وری	38100360
بال	133001166
اله	133000494
قمه	123000013
رئیس‌الوزرا	24500000
مارمالاد	33000001
قیمه	76100002
رئیس	72006603
نرم‌افزار	26700359
بالله	50900015
عائله	50800007
شئون	66700112
زمین‌شناسی	21000114
اخترشناسی	23400013
حرام	62200176
عاشق	62100353
آب‌جو	45100009
ساز	89900224
خان	88200683
مزید	56000026
معنا	54702109
نرم	81600211
برنج	51400379
زمین‌لرزه	18300228
مات	71300032
رتبه	45100289
ببو	67400001
الف	67301061
فهم	64200467
ثبت‌نام	21300777
دیوارنویس	15900000
مشاوره	25300242
نار	62900016
لیله‌القدر	13700001
مردم‌شناسی	13400086
نقشه‌برداری	11900069
وتو	59500054
طلب	57900322
روبات	27900221
پیوند	27501209
کائوچو	21600003
الکتریکی	15200298
صلی	52100011
خلق‌الله	14800005
مالت	34400028
درد	49701138
بتن	47800024
برو	47100000
افغان	22600188
صلی‌الله	12500002
ماکان	21500004
مجسمه	21400236
اعوذبالله	10700001
زید	42100039
کلوچه	20500023
جنب	39700135
قلم‌مو	15700001
یوم‌الدین	9790000
نوشته‌شده	9760024
منتها	19500173
قورباغه	13000077
رصدخانه	12800082
شامپاین	12800004
گواهی‌نامه	8440184
سیئه	25200003
مدخل	25000072
مسئله	18203158
درزمینه	12003558
بقول	24000000
محتوا	17600452
موریتانی	9990039
بستان	17000062
لیسانس	13500281
ایمیل	16500010
پیوست	15900318
زیورآلات	9040014
اربعه	15600015
فیروزه	12400029
شاهنشاه	10300027
